width_ms,rep,t_ms,tau
2,6,17.186847,0.049477
2,6,19.309174,0.024738
2,6,21.295412,0.049477
2,6,23.333202,0.000000
2,6,25.134757,0.049477
2,6,27.327509,0.074215
2,6,29.126614,0.049477
2,6,31.110510,0.024738
2,6,33.451377,0.024738
2,6,35.236172,0.049477
2,6,37.386284,0.074215
2,6,39.307853,0.024738
2,6,41.382785,0.024738
2,6,43.412435,0.024738
2,6,45.217013,0.000000
2,6,47.245000,0.074215
2,6,49.354120,0.024738
2,6,51.262271,0.024738
2,6,53.218104,-0.024738
2,6,55.109372,-0.024738
2,6,57.083792,0.049477
2,6,59.294000,0.000000
2,6,61.417554,0.074215
2,7,0.646357,0.049477
2,7,2.505397,0.049477
2,7,4.902796,0.000000
2,7,6.704193,0.123691
2,7,8.898740,0.000000
2,7,10.910886,0.024738
2,7,13.048347,0.024738
2,7,14.938309,0.074215
2,7,16.842806,0.173168
2,7,18.831012,0.049477
2,7,20.676932,0.074215
2,7,22.914114,0.148430
2,7,24.702050,0.049477
2,7,26.709351,0.074215
2,7,28.725477,0.123691
2,7,30.678614,0.049477
2,7,32.849797,0.000000
2,7,34.707279,0.123691
2,7,36.805304,0.074215
2,7,38.916816,0.148430
2,7,41.024709,0.049477
2,7,42.973662,0.074215
2,7,44.865742,0.049477
2,7,46.802789,0.049477
2,7,48.569164,0.074215
2,7,50.600897,0.074215
2,7,52.577904,0.148430
2,7,54.446160,0.049477
2,7,56.439532,0.123691
2,7,58.493311,0.123691
2,7,60.479899,0.074215
2,7,62.413205,0.074215
2,8,0.028201,0.074215
2,8,2.012972,0.074215
2,8,4.010065,0.000000
2,8,5.863707,-0.272121
2,8,8.023512,0.222645
2,8,9.919609,0.074215
2,8,12.065458,-0.074215
2,8,13.915862,0.024738
2,8,15.939597,0.000000
2,8,18.072891,0.000000
2,8,20.072659,0.000000
2,8,21.845119,0.074215
2,8,24.066314,0.074215
2,8,26.074201,0.000000
2,8,28.063541,0.074215
2,8,30.049928,0.049477
2,8,32.064483,0.074215
2,8,34.088099,0.049477
2,8,36.082248,0.049477
2,8,38.125375,0.074215
2,8,39.935846,0.074215
2,8,41.919459,0.000000
2,8,44.066407,0.123691
2,8,46.041175,0.074215
2,8,47.813679,0.074215
2,8,50.054689,0.049477
2,8,52.056036,0.049477
2,8,53.869826,0.049477
2,8,55.842681,0.049477
2,8,58.061355,0.049477
2,8,60.074645,0.024738
2,8,62.019577,0.074215
2,9,1.186599,0.049477
2,9,3.554333,0.123691
2,9,5.293245,0.123691
2,9,7.293134,-0.024738
2,9,9.287710,-0.321598
2,9,11.310009,0.173168
2,9,13.287298,-0.074215
2,9,15.305370,0.024738
2,9,17.188496,0.000000
2,9,19.167360,0.049477
2,9,21.144265,0.074215
2,9,23.294569,0.024738
2,9,25.330868,0.049477
2,9,27.099204,0.049477
2,9,29.265851,0.024738
2,9,31.267093,0.074215
2,9,33.239632,0.049477
2,9,35.256485,0.049477
2,9,37.174148,0.024738
2,9,39.143611,0.173168
2,9,41.215484,0.049477
2,9,43.263948,0.074215
2,9,45.306453,0.024738
2,9,47.284285,0.049477
2,9,49.238573,0.074215
2,9,51.249750,0.123691
2,9,53.277300,0.074215
2,9,55.301159,0.148430
2,9,57.290358,0.049477
2,9,59.290239,0.049477
2,9,61.290121,0.049477
2,10,0.035010,0.074215
2,10,2.286860,0.049477
2,10,4.276469,0.000000
2,10,6.416028,0.123691
2,10,8.564116,0.000000
2,10,10.494118,0.024738
2,10,12.544298,0.074215
2,10,14.480970,-0.024738
2,10,16.501087,0.074215
2,10,18.388047,0.074215
2,10,20.113897,0.123691
2,10,22.378984,0.049477
2,10,24.460598,0.074215
2,10,26.422003,0.049477
2,10,28.314069,0.049477
2,10,30.315436,0.148430
2,10,32.313003,0.123691
2,10,34.422809,0.049477
2,10,36.356685,0.074215
2,10,38.438587,0.049477
2,10,40.379296,0.049477
2,10,42.395204,0.049477
2,10,44.451641,0.074215
2,10,46.490592,0.173168
2,10,48.452204,0.074215
2,10,50.499270,0.049477
2,10,52.515217,0.123691
2,10,54.482873,0.123691
2,10,56.474852,0.024738
2,10,58.498869,0.074215
2,10,60.271535,0.049477
2,11,1.487439,0.123691
