t_sys,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpy_r,rpy_p,rpy_y
4966.391282,0.98738831,0.00081820,-0.00787450,-0.15811896,0.00958738,-0.02663161,-0.00319579,-0.07661445,-0.17477672,9.38167953,0.00410646,-0.01529223,-0.31761214
4966.393267,0.98738730,0.00082278,-0.00788490,-0.15812433,0.00639159,-0.00639159,-0.00639159,-0.07661445,-0.17477672,9.38167953,0.00411888,-0.01531129,-0.31762317
4966.395337,0.98738921,0.00083105,-0.00786702,-0.15811385,-0.00319579,0.00319579,0.00958738,-0.07661445,-0.17477672,9.38167953,0.00412940,-0.01527342,-0.31760195
4966.397359,0.98738945,0.00084427,-0.00788193,-0.15811139,0.00532632,-0.02450108,-0.00958738,-0.05746084,-0.15322891,9.38048267,0.00416019,-0.01529869,-0.31759727
4966.399333,0.98739046,0.00084373,-0.00788598,-0.15810466,0.00000000,0.00639159,0.01278317,-0.05746084,-0.15322891,9.38048267,0.00416029,-0.01530689,-0.31758365
4966.401322,0.98739326,0.00084520,-0.00788937,-0.15808693,0.00745685,-0.01597896,0.01384844,0.01436521,-0.13048400,9.33978081,0.00416401,-0.01531319,-0.31754777
4966.403240,0.98739320,0.00084759,-0.00789294,-0.15808763,0.00213053,-0.01917476,-0.00852211,0.01436521,-0.13048400,9.33978081,0.00416985,-0.01531948,-0.31754929
4966.405255,0.98739487,0.00084542,-0.00789633,-0.15807667,0.00745685,-0.00319579,0.01810949,-0.01795651,-0.12808979,9.34337234,0.00416648,-0.01532690,-0.31752706
4966.407303,0.98739666,0.00083890,-0.00789045,-0.15806578,-0.01065264,-0.01384844,0.00106526,-0.01795651,-0.12808979,9.34337234,0.00415158,-0.01531740,-0.31750488
4966.409252,0.98739547,0.00083657,-0.00790445,-0.15807258,-0.00745685,-0.02343581,-0.01597896,-0.01795651,-0.12808979,9.34337234,0.00415150,-0.01534576,-0.31751871
4966.411029,0.98739630,0.00083487,-0.00789404,-0.15806812,-0.01065264,0.00852211,0.00426106,-0.04788403,-0.21308395,9.38048267,0.00414479,-0.01532575,-0.31750959
4966.413312,0.98739791,0.00082768,-0.00789338,-0.15805820,0.00319579,-0.01278317,0.01171791,-0.04788403,-0.21308395,9.38048267,0.00413021,-0.01532677,-0.31748936
4966.415286,0.98739785,0.00083030,-0.00789337,-0.15805843,-0.00745685,0.00639159,-0.01171791,0.00119710,-0.19393034,9.35893440,0.00413539,-0.01532592,-0.31748989
4966.417340,0.98739976,0.00083322,-0.00788527,-0.15804668,-0.01278317,0.00426106,0.01917476,0.00119710,-0.19393034,9.35893440,0.00413842,-0.01530905,-0.31746602
4966.419335,0.98739940,0.00083538,-0.00789033,-0.15804894,0.02130529,-0.01171791,-0.00852211,0.00119710,-0.19393034,9.35893440,0.00414432,-0.01531836,-0.31747073
4966.421325,0.98739916,0.00082430,-0.00788696,-0.15805058,-0.00213053,-0.00958738,-0.00106526,0.02274492,-0.18794483,9.44273186,0.00412140,-0.01531519,-0.31747380
4966.423289,0.98740005,0.00082034,-0.00787668,-0.15804559,-0.01597896,0.00745685,0.00745685,0.02274492,-0.18794483,9.44273186,0.00411024,-0.01529617,-0.31746358
4966.425273,0.98739916,0.00083166,-0.00788413,-0.15805060,0.00106526,-0.01917476,-0.00745685,-0.07661445,-0.23822308,9.33379555,0.00413504,-0.01530727,-0.31747395
4966.427251,0.98739851,0.00082630,-0.00789345,-0.15805425,0.00852211,-0.01917476,-0.00639159,-0.07661445,-0.23822308,9.33379555,0.00412746,-0.01532736,-0.31748137
4966.429201,0.98739797,0.00083103,-0.00788581,-0.15805776,0.00319579,-0.00319579,-0.00426106,-0.07661445,-0.23822308,9.33379555,0.00413444,-0.01531075,-0.31748846
4966.431288,0.98739636,0.00083774,-0.00789552,-0.15806741,0.00852211,-0.02024002,-0.01704423,-0.11611878,-0.19512744,9.33499241,0.00415091,-0.01532779,-0.31750819
4966.433305,0.98739469,0.00085076,-0.00789626,-0.15807778,0.01278317,0.00000000,-0.01278317,-0.11611878,-0.19512744,9.33499241,0.00417703,-0.01532508,-0.31752941
4966.435300,0.98739421,0.00085370,-0.00788373,-0.15808135,-0.00639159,0.00000000,-0.00426106,-0.10175357,-0.13407530,9.44153404,0.00417891,-0.01529938,-0.31753656
4966.437307,0.98739296,0.00085697,-0.00789060,-0.15808883,-0.02130529,-0.00426106,-0.01384844,-0.10175357,-0.13407530,9.44153404,0.00418766,-0.01531189,-0.31755185
4966.439291,0.98739201,0.00084736,-0.00788504,-0.15809524,-0.00106526,-0.00958738,-0.01491370,-0.10175357,-0.13407530,9.44153404,0.00416703,-0.01530392,-0.31756458
4966.441314,0.98739016,0.00083644,-0.00789153,-0.15810618,-0.00639159,-0.02343581,-0.01810949,-0.14365210,-0.14484920,9.38407326,0.00414769,-0.01532014,-0.31758663
4966.443228,0.98738778,0.00082772,-0.00790145,-0.15812080,-0.01491370,-0.02024002,-0.01065264,-0.14365210,-0.14484920,9.38407326,0.00413383,-0.01534242,-0.31761625
4966.445027,0.98738611,0.00081907,-0.00788790,-0.15813205,-0.00213053,0.00532632,-0.00958738,-0.17836803,-0.18914193,9.34097767,0.00411263,-0.01531837,-0.31763878
4966.447391,0.98738480,0.00081683,-0.00789124,-0.15814000,-0.00958738,-0.00958738,-0.01171791,-0.17836803,-0.18914193,9.34097767,0.00410938,-0.01532563,-0.31765494
4966.449341,0.98738253,0.00081451,-0.00789389,-0.15815429,-0.01810949,-0.00426106,-0.00958738,-0.17836803,-0.18914193,9.34097767,0.00410586,-0.01533155,-0.31768385
4966.451332,0.98738021,0.00082898,-0.00789505,-0.15816835,0.01704423,-0.00639159,-0.02024002,-0.07781155,-0.22625206,9.39125633,0.00413502,-0.01532919,-0.31771252
4966.453407,0.98737794,0.00082970,-0.00790337,-0.15818208,0.00852211,-0.02450108,-0.02343581,-0.07781155,-0.22625206,9.39125633,0.00413930,-0.01534535,-0.31774044
4966.455305,0.98737800,0.00083250,-0.00790613,-0.15818173,-0.00639159,0.00106526,0.00319579,0.00837971,-0.18435353,9.39365005,0.00414569,-0.01534991,-0.31773978
4966.457321,0.98737776,0.00084308,-0.00790416,-0.15818316,0.01065264,-0.01065264,-0.00639159,0.00837971,-0.18435353,9.39365005,0.00416600,-0.01534265,-0.31774282
4966.459319,0.98737663,0.00085357,-0.00791935,-0.15818959,0.01065264,-0.01704423,-0.01171791,0.00837971,-0.18435353,9.39365005,0.00419162,-0.01536932,-0.31775615
4966.461225,0.98737705,0.00084554,-0.00791417,-0.15818709,-0.00639159,-0.00426106,0.00426106,-0.09217677,-0.12928689,9.42956352,0.00417407,-0.01536164,-0.31775090
