t_s,interval_ms,dropout
0.530807,2.071785,0
0.533089,2.281854,0
0.534802,1.712801,0
0.536674,1.872238,0
0.538689,2.014823,0
0.540650,1.960620,0
0.542610,1.960683,0
0.544587,1.976273,0
0.546688,2.101607,0
0.548712,2.023743,0
0.550386,1.674047,0
0.552606,2.219767,0
0.554669,2.063081,0
0.556675,2.005869,0
0.558597,1.921911,0
0.560605,2.008398,0
0.562821,2.216064,0
0.564616,1.795395,0
0.566578,1.961788,0
0.568788,2.209980,0
0.570804,2.015555,0
0.572423,1.619708,0
0.574669,2.245152,0
0.576774,2.105479,0
0.578786,2.011698,0
0.580796,2.010028,0
0.582580,1.784641,0
0.584598,2.017971,0
0.586720,2.121756,0
0.588781,2.060478,0
0.590793,2.012162,0
0.592632,1.838913,0
0.594636,2.004609,0
0.596580,1.943845,0
0.598671,2.091288,0
0.600660,1.988350,0
0.603040,2.379786,0
0.604802,1.762272,0
0.606766,1.964601,0
0.608775,2.008915,0
0.610713,1.937195,0
0.612684,1.971643,0
0.614682,1.997570,0
0.616766,2.084011,0
0.618749,1.983001,0
0.620809,2.060214,0
0.623053,2.244403,0
0.624809,1.755699,0
0.626647,1.838271,0
0.628676,2.028523,0
0.630598,1.922325,0
0.633008,2.409556,0
0.634761,1.753352,0
0.636663,1.901687,0
0.638684,2.021194,0
0.640670,1.986370,0
0.642678,2.007808,0
0.644670,1.991782,0
0.646651,1.980959,0
0.648597,1.945788,0
0.650746,2.149453,0
0.652416,1.669602,0
0.654739,2.323089,0
0.656626,1.887588,0
0.658810,2.183531,0
0.660614,1.803510,0
0.662696,2.082994,0
0.664673,1.976916,0
0.666676,2.003020,0
0.668678,2.001968,0
0.670683,2.004842,0
0.672673,1.990200,0
0.674821,2.147398,0
0.676761,1.939914,0
0.678608,1.847333,0
0.680587,1.979283,0
0.683096,2.508787,0
0.684659,1.562536,0
0.686773,2.114635,0
0.688602,1.828679,0
0.690617,2.015355,0
0.692692,2.074360,0
0.694586,1.894765,0
0.696649,2.062718,0
0.698607,1.957426,0
0.700642,2.035018,0
0.702901,2.259093,0
0.704567,1.666471,0
