t_sys,q_FR_hip,dq_FR_hip,tau_FR_hip,q_FR_thigh,dq_FR_thigh,tau_FR_thigh,q_FR_calf,dq_FR_calf,tau_FR_calf,q_FL_hip,dq_FL_hip,tau_FL_hip,q_FL_thigh,dq_FL_thigh,tau_FL_thigh,q_FL_calf,dq_FL_calf,tau_FL_calf,q_RR_hip,dq_RR_hip,tau_RR_hip,q_RR_thigh,dq_RR_thigh,tau_RR_thigh,q_RR_calf,dq_RR_calf,tau_RR_calf,q_RL_hip,dq_RL_hip,tau_RL_hip,q_RL_thigh,dq_RL_thigh,tau_RL_thigh,q_RL_calf,dq_RL_calf,tau_RL_calf
4966.356978,-0.01690227,0.05813286,0.59371877,0.73515272,-0.03487971,-1.78115630,-1.42418468,0.01011006,6.25878525,0.03246492,-0.02325314,-1.50903523,0.71450347,-0.02712867,-0.96479297,-1.44375706,0.03033019,7.25450134,-0.07301164,0.01550210,2.12749219,0.68815660,0.02325314,1.48429692,-1.39797735,0.01819811,6.78035069,0.06665337,0.00000000,-1.45955861,0.70057034,-0.03875524,2.30066013,-1.43574810,0.02628616,7.44416142
4966.358985,-0.01696283,-0.03875524,0.64319533,0.73518300,0.04263076,-1.70694149,-1.42420042,-0.02022013,6.40103054,0.03249520,0.00000000,-1.50903523,0.71450347,-0.05038181,-0.96479297,-1.44378865,-0.01819811,7.20708609,-0.07301164,0.00000000,2.12749219,0.68815660,0.03875524,1.58325005,-1.39800894,-0.02830817,6.78035069,0.06671393,0.07363495,-1.45955861,0.70060062,0.01162657,2.30066013,-1.43574810,0.02830817,7.39674616
4966.361037,-0.01690227,0.06588390,0.56898046,0.73521328,0.05813286,-1.70694149,-1.42418468,0.00808805,6.25878525,0.03246492,-0.05425733,-1.55851173,0.71450347,-0.04650629,-0.96479297,-1.44377279,0.00000000,7.20708609,-0.07301164,-0.00387552,2.12749219,0.68815660,0.02712867,1.55851173,-1.39799309,0.00606604,6.82776594,0.06668365,0.06588390,-1.38534379,0.70060062,0.00387552,2.20170712,-1.43576396,0.01415409,7.58640671
4966.363034,-0.01693255,0.00000000,0.59371877,0.73521328,0.06200838,-1.73167968,-1.42420042,-0.02022013,6.25878525,0.03246492,0.00387552,-1.58325005,0.71447319,-0.09301257,-0.96479297,-1.44377279,0.02022013,7.11225605,-0.07298136,0.06200838,2.15223050,0.68809605,0.08138600,1.48429692,-1.39797735,0.01819811,6.87518072,0.06668365,0.03875524,-1.36060548,0.70057034,-0.05038181,2.25118375,-1.43576396,0.01011006,7.58640671
4966.365036,-0.01693255,0.01937762,0.59371877,0.73518300,0.00775105,-1.78115630,-1.42420042,-0.01213207,6.40103054,0.03246492,0.00000000,-1.58325005,0.71453375,0.01550210,-0.96479297,-1.44378865,-0.01415409,7.11225605,-0.07301164,0.00775105,2.15223050,0.68815660,0.03875524,1.48429692,-1.39799309,-0.02022013,6.87518072,0.06665337,-0.01937762,-1.45955861,0.70060062,0.00387552,2.25118375,-1.43576396,0.00808805,7.44416142
4966.367137,-0.01696283,-0.03875524,0.56898046,0.73518300,0.03100419,-1.68220317,-1.42418468,0.00404402,6.25878525,0.03246492,0.01162657,-1.60798836,0.71453375,0.02325314,-0.96479297,-1.44377279,0.02022013,7.20708609,-0.07301164,0.01550210,2.20170712,0.68815660,0.01937762,1.48429692,-1.39799309,-0.02022013,6.87518072,0.06665337,0.00000000,-1.36060548,0.70060062,0.00000000,2.30066013,-1.43576396,0.00808805,7.44416142
4966.369304,-0.01696283,-0.04263076,0.59371877,0.73521328,0.07363495,-1.73167968,-1.42418468,0.00606604,6.25878525,0.03243464,-0.02325314,-1.60798836,0.71453375,0.00000000,-0.98953128,-1.44377279,0.02224214,7.06484079,-0.07301164,0.03875524,2.20170712,0.68815660,0.03875524,1.50903523,-1.39799309,-0.00808805,6.87518072,0.06668365,0.05425733,-1.36060548,0.70060062,0.00000000,2.25118375,-1.43576396,0.00606604,7.58640671
4966.371298,-0.01696283,-0.04263076,0.59371877,0.73518300,0.00387552,-1.73167968,-1.42421627,0.01011006,6.30620050,0.03246492,0.00775105,-1.63272667,0.71447319,-0.10851467,-0.96479297,-1.44378865,-0.00808805,7.11225605,-0.07301164,0.03487971,2.20170712,0.68815660,0.04650629,1.50903523,-1.39799309,-0.00808805,6.87518072,0.06668365,0.05425733,-1.38534379,0.70060062,0.01937762,2.25118375,-1.43577969,-0.01415409,7.49157619
4966.373470,-0.01696283,-0.03100419,0.59371877,0.73515272,-0.05038181,-1.78115630,-1.42420042,-0.01819811,6.25878525,0.03246492,0.00775105,-1.63272667,0.71453375,0.02325314,-0.96479297,-1.44377279,0.01213207,7.11225605,-0.07301164,0.03487971,2.20170712,0.68812633,-0.03875524,1.48429692,-1.39800894,-0.04852830,6.87518072,0.06668365,0.05425733,-1.38534379,0.70057034,0.05038181,2.25118375,-1.43574810,0.03841824,7.58640671
4966.375199,-0.01696283,-0.03100419,0.59371877,0.73518300,0.01550210,-1.73167968,-1.42420042,-0.02022013,6.25878525,0.03246492,0.03100419,-1.60798836,0.71453375,0.01937762,-0.94005471,-1.44378865,-0.02022013,7.06484079,-0.07301164,0.04263076,2.20170712,0.68815660,0.02712867,1.48429692,-1.39797735,0.00808805,6.87518072,0.06668365,0.03875524,-1.38534379,0.70060062,-0.00775105,2.25118375,-1.43574810,0.03841824,7.58640671
